	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L4S63	3.802568375661544	3.925410530019485	3.974440574361413	3.9842653330680364	3.9658803692212614	4.173844798936566	3.6740792808285487	4.151748959386839	1.629781035558555	2.8610230364439677	1.5991290650988996	2.181815888747539	4.485010513218912	2.214454077490444	3.150561310342159	4.516139708061978	3.850615166231579	2.1597098610534813	3.0168024849547024	2.5330807405717755	2.0350848551150214	3.603099617002442	2.9621214613146027	5.926341359320525	0.0	2.450559736083773	3.101028662024489	3.7180961142014475	3.0378669839861616	3.7000246925034563	4.01277127419171	3.654339213826469	3.5087842929726953	3.3755194644382844
L5S104	4.253971998421651	3.914154209378133	4.0851055497344735	3.727752455480807	3.7027239214831145	4.034678759707126	3.664714951136217	4.523316814596834	2.5380546289976884	2.8528195922337534	1.9894619777743432	1.8291102784834408	2.725158961326907	2.2270937549640957	2.6175593826064656	4.007515927245687	3.57561696319015	1.9632868284304363	2.6235380306609026	2.6507357429995126	1.5635046900167122	3.35944804850631	3.775088732830285	5.529778673114492	2.450559736083773	0.0	1.432261676768312	2.245912045379775	1.5940366646659627	2.2321495092878263	2.8596561480113993	2.215440196780149	2.175208870389454	1.9824276456229692
L5S155	3.6353497911273065	3.5182377944925705	3.9171547822986383	3.7929328196256478	3.5739093791171324	3.348002409601957	3.02516563894303	3.7010956893023903	2.7328693784838975	2.2765911591562045	2.295809148397624	1.4608939231809515	1.8398953758595078	1.7646373083856068	1.747352909297309	2.801099254347166	2.706597683967073	1.6887140633802051	1.868132149552398	1.9930995630426016	1.4842665839377576	3.0315143465581595	3.25836040616487	4.310898954102374	3.101028662024489	1.432261676768312	0.0	1.262578763430832	0.9891772222849647	1.8347114957527533	1.7376216329015501	1.4620680828524875	1.4148502514489356	1.511217384296121
L5S174	3.433403695641063	2.9207265636778836	3.6927442520916993	3.4597924360098906	3.018736075725026	2.6856217498651502	2.355384731695095	3.5592395159644084	3.4056661988477157	2.924623164556464	2.9697335896537025	2.0884762231719023	1.4279666520803787	2.4000442098243338	2.3792331541468097	2.5499254743994735	2.4475291661267327	2.281728460217404	2.550143611572114	2.494019093785315	2.202683906098336	2.723191866443047	3.684786223838113	4.132541237515334	3.7180961142014475	2.245912045379775	1.262578763430832	0.0	1.0898784434797057	0.9405725771300085	0.9332294419939252	0.7378119159278579	0.8346867982261938	1.1712071784239049
L5S203	3.280793098828082	3.475754563457713	4.1411650619637195	3.928972429796973	3.5679890079024013	2.851039850238375	2.545267672673761	3.5663286549517026	3.1128862019757784	2.899888690618646	2.2712951103672823	1.7255249039266394	2.150113970023371	2.2221254362855185	2.482337275265507	3.1812228591418688	2.7060809253192684	2.1281188796044708	2.593774618523263	2.4064201242658907	1.6808245337417174	3.176049244672246	3.5124632783556637	4.72038765869767	3.0378669839861616	1.5940366646659627	0.9891772222849647	1.0898784434797057	0.0	1.4460996827625088	1.8673460108151332	1.1305589403762253	1.0144007097177434	0.588413150983074
L5S222	3.691138889660884	2.6987764791369453	3.4802627092988914	3.027597663177602	2.6080562011070905	2.7657025928854098	2.4144910235746275	3.9727279395657926	3.5690283058225223	3.451942906741797	3.068334906193241	2.400550007847438	1.8627209297149097	2.8139643825066663	2.993894656585236	3.240711126878027	2.791829503766009	2.5451866491038015	3.123827259420182	2.977132201819314	2.4238236676093536	2.550355363169335	4.20669316572914	4.867945937404752	3.7000246925034563	2.2321495092878263	1.8347114957527533	0.9405725771300085	1.4460996827625088	0.0	1.576704818522276	1.131449281539767	1.2795377373150623	1.3553776168801672
L5S240	3.528105969387673	2.5731580016491202	3.3763513992530676	3.2443761355723	2.741217938969669	2.810171771988334	2.3870529122007498	3.457570571665036	3.375550702819908	2.614471180076472	3.40126353814386	2.3335562476395095	1.3675645555272722	2.3281530318812687	2.0834089679774594	1.7234737261619875	2.37228387680053	2.3196850338741286	2.2816855899094817	2.331551756864114	2.5813930514773147	2.53729448354773	3.3586328219723156	3.3056953879423525	4.01277127419171	2.8596561480113993	1.7376216329015501	0.9332294419939252	1.8673460108151332	1.576704818522276	0.0	1.2427037888462915	1.3249686303967165	1.9904591361455122
L6S20	3.8098657289817814	3.1921200664669995	4.0161403961747295	3.5728310794820612	3.0806214504345837	3.0952832261406553	2.657335557329313	3.997000354732722	3.4395080590469163	2.987355277332106	3.1831106119950876	2.399550705450555	1.3378903738432821	2.564117665488399	2.5915096233001225	2.7811301340485763	3.0391582900467093	2.5243946179680155	2.7517210221738835	2.753606344445404	2.480424746206424	3.158406387945493	3.5852214830419666	4.207395334884884	3.654339213826469	2.215440196780149	1.4620680828524875	0.7378119159278579	1.1305589403762253	1.131449281539767	1.2427037888462915	0.0	0.25004105908438234	1.0254124585784559
L6S68	3.6840949789330026	3.2418621074497707	4.073959328763458	3.6721909546973066	3.173521514595767	3.0398423066034086	2.5899780564583175	3.8837061221550715	3.3430696889225033	2.894488984360907	3.05792332774172	2.301894825952034	1.5162947655067207	2.4587475563892616	2.5294856574391122	2.765013223926228	3.000447916311789	2.4558376387938754	2.68317888796645	2.646060156626589	2.383397879527552	3.2137591955469684	3.418292504830024	4.180950947794655	3.5087842929726953	2.175208870389454	1.4148502514489356	0.8346867982261938	1.0144007097177434	1.2795377373150623	1.3249686303967165	0.25004105908438234	0.0	0.922793452670259
L6S93	3.430542683380201	3.600348691362196	4.4114069756524055	4.090334124178183	3.645264571689832	2.833905056635039	2.5428752203713008	3.793721714015606	3.5683632214126066	3.36617705865108	2.7154410384326537	2.2516274181857634	2.2139892982503944	2.71946812854224	2.973918928064187	3.4249899257443674	2.9832502208922276	2.63340159826379	3.098518761851891	2.8888254307573007	2.2087347189743842	3.4426890156951613	3.844817966464634	4.910097932689309	3.3755194644382844	1.9824276456229692	1.511217384296121	1.1712071784239049	0.588413150983074	1.3553776168801672	1.9904591361455122	1.0254124585784559	0.922793452670259	0.0
