,study_id,fold_rare,t,p,rare_mantel_r,unrare_mantel_r,rare_unrare_mantel_r
0,833,0,-2.8188423724639167,0.005618724554452115,-0.006628222046195591,0.034261824256911155,0.9862203264880969
1,833,1,-2.8087533980439097,0.005786676002616398,-0.006592173886014693,0.034261824256911155,0.9861516163019083
2,833,2,-2.783675182725329,0.006224186423531952,-0.006213324601030383,0.034261824256911155,0.986176001315787
3,833,3,-2.8018998543555047,0.0059033671000296994,-0.006551902490394723,0.034261824256911155,0.9861152806275045
4,833,4,-2.8128917201655232,0.005717238579135087,-0.006592583349814415,0.034261824256911155,0.9861896029024635
5,833,5,-2.833351098338901,0.005384993752634015,-0.006768024446085149,0.034261824256911155,0.9862590930066104
6,833,6,-2.797073124355469,0.005986832877132642,-0.006377697460559888,0.034261824256911155,0.9861888225346318
7,833,7,-2.856838969976856,0.005025384204864869,-0.007057808395271233,0.034261824256911155,0.9862785892453546
8,833,8,-2.8197736420655932,0.0056034482767926,-0.0066286588619378275,0.034261824256911155,0.9862285804967826
9,833,9,-2.741127000791495,0.00703592154193422,-0.005472969178365343,0.034261824256911155,0.9862848494366335
10,833,10,-2.795790051341634,0.006009200650215929,-0.006330705983450223,0.034261824256911155,0.9862088409009243
11,833,11,-2.833603654016774,0.005381005024922336,-0.007058828306753443,0.034261824256911155,0.9860660096695779
12,833,12,-2.8121807212006877,0.005729114142776437,-0.006430101903951709,0.034261824256911155,0.9862926937337115
13,833,13,-2.7832543559095875,0.006231778682668665,-0.006122076013130165,0.034261824256911155,0.9862343287758724
14,833,14,-2.7862056225130427,0.006178711479736032,-0.006170247239140752,0.034261824256911155,0.9862289637600764
15,833,15,-2.822303065476508,0.005562147567649944,-0.006575819119322847,0.034261824256911155,0.986287254630525
16,833,16,-2.788690104520723,0.006134357273167135,-0.006259358432820167,0.034261824256911155,0.9861913846303124
17,833,17,-2.8461019265246197,0.005186955111145197,-0.00711509515159219,0.034261824256911155,0.9861429858564388
18,833,18,-2.783118845450534,0.0062342252620428695,-0.006344342128616706,0.034261824256911155,0.9860811523820112
19,833,19,-2.739927618761884,0.0070601382953388025,-0.005580625964281434,0.034261824256911155,0.986199070914232
20,833,20,-2.7661803166187204,0.006547025473998325,-0.005964131728235046,0.034261824256911155,0.9861826559056034
21,833,21,-2.885902855244021,0.004610866360913679,-0.007631603064007546,0.034261824256911155,0.986160044981057
22,833,22,-2.8091224733845737,0.005780452124299229,-0.006565311378880473,0.034261824256911155,0.9861732313489424
23,833,23,-2.8226005398396947,0.005557308688830975,-0.006654546590439607,0.034261824256911155,0.9862370722949941
24,833,24,-2.859518675040676,0.004985784767482571,-0.007045560996047467,0.034261824256911155,0.9863108113193477
25,833,25,-2.860621195078691,0.004969575326105202,-0.007184886043655205,0.034261824256911155,0.9862282967607764
26,833,26,-2.8252234575964907,0.005514809014698141,-0.006665743851285866,0.034261824256911155,0.9862535428772665
27,833,27,-2.868075561170687,0.004861239538263673,-0.007307407830641972,0.034261824256911155,0.9862142092089375
28,833,28,-2.793608485644665,0.006047406833586955,-0.00631565098273595,0.034261824256911155,0.9861988205538919
29,833,29,-2.7535016896418387,0.006790436116862919,-0.005794710674691462,0.034261824256911155,0.986179707814251
30,833,30,-2.834225136420815,0.005371201163559602,-0.006885359163969941,0.034261824256911155,0.9861884121878018
31,833,31,-2.8414574497597656,0.0052583060698869755,-0.006844190245865699,0.034261824256911155,0.9862818112231694
32,833,32,-2.8694209244154245,0.00484191904426412,-0.0074489160645206925,0.034261824256911155,0.9861324146061996
33,833,33,-2.8219449588193504,0.005567977828794257,-0.006624849174727738,0.034261824256911155,0.9862510402066078
34,833,34,-2.8704034334522643,0.004827853885368771,-0.0074202926218735425,0.034261824256911155,0.9861603197639506
35,833,35,-2.7707788698826437,0.006460721616688758,-0.005836041916488275,0.034261824256911155,0.9863133548983767
36,833,36,-2.8002493316865382,0.005931788419862194,-0.006314035316578368,0.034261824256911155,0.9862613954421167
37,833,37,-2.7791352748033087,0.006306539026389224,-0.005900562410193186,0.034261824256911155,0.9863468905919264
38,833,38,-2.7937446672879207,0.006045015391596298,-0.006335547220131336,0.034261824256911155,0.9861865533161535
39,833,39,-2.7661327151985553,0.006547924301287589,-0.005893919512464574,0.034261824256911155,0.9862303887794571
40,833,40,-2.7873919581622095,0.006157496090417602,-0.006377046524569442,0.034261824256911155,0.9860989103990855
41,833,41,-2.7733660723362368,0.006412622626867703,-0.006027245985693809,0.034261824256911155,0.986206807490844
42,833,42,-2.7822939657841355,0.006249136977154013,-0.00616471290452081,0.034261824256911155,0.9861962937837945
43,833,43,-2.8158868044761216,0.005667459059421676,-0.00665090582712254,0.034261824256911155,0.9861778224081843
44,833,44,-2.858436004938984,0.005001749451457815,-0.0072670076055959135,0.034261824256911155,0.9861538556668661
45,833,45,-2.824811317360616,0.005521467285970472,-0.006668505484067071,0.034261824256911155,0.9862479206574973
46,833,46,-2.7536483278691994,0.006787574445696443,-0.005755211207821361,0.034261824256911155,0.9862083264806112
47,833,47,-2.7844248650547474,0.006210682066773332,-0.006325697267286099,0.034261824256911155,0.98610619731158
48,833,48,-2.8178147293502858,0.005635625846294845,-0.006603370899861387,0.034261824256911155,0.9862276348660106
49,833,49,-2.7704282850798507,0.006467264594612221,-0.005855847016561027,0.034261824256911155,0.986296571345215
50,833,50,-2.8197729715941033,0.005603459261356303,-0.006721203248669024,0.034261824256911155,0.9861661858224758
51,833,51,-2.8037753332544706,0.005871222946450594,-0.006444686697573837,0.034261824256911155,0.9862054767197813
