,study_id,fold_rare,t,p,rare_mantel_r,unrare_mantel_r,rare_unrare_mantel_r
0,632,0,-1.3185984720028912,0.22379955037516264,-0.03917748917748919,0.10295815295815297,0.9433621933621935
1,632,1,-1.1647640360908285,0.27766919578675164,-0.0344877344877345,0.10295815295815297,0.9347763347763349
2,632,2,-1.29691803396215,0.23081168578809153,-0.0546897546897547,0.10295815295815297,0.9284271284271286
3,632,3,-1.2829850832488605,0.23541587264089148,-0.038455988455988466,0.10295815295815297,0.9413419913419915
4,632,4,-1.0858247730429953,0.3091887580434749,-0.021861471861471866,0.10295815295815297,0.9392496392496393
5,632,5,-1.4246635023023297,0.19207427381303743,-0.06695526695526696,0.10295815295815297,0.9286435786435788
6,632,6,-1.479625037171505,0.17723896721793375,-0.06038961038961041,0.10295815295815297,0.9378787878787881
7,632,7,-1.2143141022470103,0.25925351154714926,-0.04646464646464647,0.10295815295815297,0.9282106782106785
8,632,8,-1.3092362503266917,0.22680499003891974,-0.05894660894660896,0.10295815295815297,0.9256854256854259
9,632,9,-1.2690034879840721,0.24011397471181972,-0.040331890331890344,0.10295815295815297,0.9386724386724389
10,632,10,-0.9470663329153169,0.37132967642128145,-0.022222222222222227,0.10295815295815297,0.9221500721500723
11,632,11,-1.0589251987316868,0.32055628411320436,-0.03665223665223666,0.10295815295815297,0.9206349206349208
12,632,12,-1.0902419530027294,0.30735285882404706,-0.025180375180375185,0.10295815295815297,0.9364357864357866
13,632,13,-0.9264784000225738,0.38129758438974637,-0.017748917748917754,0.10295815295815297,0.9246753246753248
14,632,14,-1.117344455850868,0.29627688485033743,-0.0344877344877345,0.10295815295815297,0.9299422799422801
15,632,15,-1.200645850985386,0.2642300192058009,-0.039105339105339115,0.10295815295815297,0.9338383838383839
16,632,16,-1.0630468649759426,0.31879355756455263,-0.010317460317460319,0.10295815295815297,0.9480519480519483
17,632,17,-1.21506633643674,0.25898189440176034,-0.044877344877344884,0.10295815295815297,0.92979797979798
18,632,18,-1.2802842447349123,0.2363173101079843,-0.05512265512265513,0.10295815295815297,0.9264790764790767
19,632,19,-1.3618864284956391,0.21034288553209501,-0.06652236652236654,0.10295815295815297,0.9236652236652239
20,632,20,-1.4785595655603945,0.1775166216177797,-0.05101010101010102,0.10295815295815297,0.944733044733045
21,632,21,-1.2824194698054776,0.23560441190818615,-0.040909090909090916,0.10295815295815297,0.9392496392496393
22,632,22,-1.218461210147622,0.25775900190319967,-0.05245310245310246,0.10295815295815297,0.922799422799423
23,632,23,-1.4868255985080538,0.1753726610121069,-0.06810966810966813,0.10295815295815297,0.9323953823953827
24,632,24,-1.5772593934226922,0.1533871288286628,-0.06868686868686871,0.10295815295815297,0.9378787878787881
25,632,25,-0.9084113024842339,0.3902056739935085,-0.027849927849927857,0.10295815295815297,0.9083694083694085
26,632,26,-0.9150593050219225,0.38691035913950467,-0.011544011544011547,0.10295815295815297,0.9306637806637807
27,632,27,-1.2567414642202057,0.2442990286264366,-0.0344877344877345,0.10295815295815297,0.9426406926406928
28,632,28,-1.3931776996992313,0.20105609589986972,-0.056854256854256865,0.10295815295815297,0.9345598845598847
29,632,29,-1.2819158558851032,0.2357723919443886,-0.054040404040404055,0.10295815295815297,0.9276334776334779
30,632,30,-1.17086490477881,0.275345563244181,-0.025180375180375185,0.10295815295815297,0.943795093795094
31,632,31,-1.145207895828926,0.28522518691405985,-0.03780663780663781,0.10295815295815297,0.9295815295815297
32,632,32,-1.095684829387523,0.3051025324094945,-0.039105339105339115,0.10295815295815297,0.9225829725829728
